date	xml	json
2005-08-12	58.115	9.264
2005-08-15	58.091	9.249
2005-09-09	58.091	9.226
2005-09-12	58.184	9.264
2005-09-28	59.092	9.605
2005-10-04	60.344	9.843
2005-10-07	60.691	10.016
2005-10-16	61.346	10.7
2005-10-20	61.682	11.017
2005-10-29	62.598	11.671
2005-11-08	63.251	12.269
2005-11-17	63.599	12.706
2005-11-26	63.823	13.02
2005-12-12	64.1	13.318
2005-12-21	64.401	13.521
2005-12-30	64.851	13.736
2006-01-18	66.103	14.035
2006-01-22	66.373	14.022
2006-01-31	67.105	13.801
2006-02-15	68.002	13.271
2006-02-18	68.106	13.241
2006-03-19	68.607	13.521
2006-03-21	68.607	13.551
2006-04-15	68.106	13.551
2006-04-19	68.019	13.521
2006-05-10	67.606	13.29
2006-05-20	67.465	13.271
2006-06-10	67.105	13.702
2006-06-14	67.03	13.772
2006-07-05	66.354	13.978
2006-07-15	65.903	14.022
2006-07-24	65.603	14.061
2006-08-15	65.311	14.022
2006-08-24	65.352	13.854
2006-09-09	65.819	13.521
2006-09-18	66.103	13.471
2006-10-10	66.434	13.521
2006-10-19	66.604	13.529
2006-11-07	67.606	13.519
2006-11-10	67.828	13.521
2006-11-26	68.357	13.617
2006-12-05	68.405	13.772
2006-12-27	68.357	14.267
2007-01-05	68.368	14.523
2007-01-27	68.607	15.166
2007-01-30	68.69	15.274
2007-02-21	69.358	15.932
2007-02-24	69.44	16.025
2007-03-21	69.831	16.526
2007-03-24	69.859	16.563
2007-04-18	69.859	16.768
2007-04-21	69.82	16.776
2007-05-19	69.609	16.764
2007-05-22	69.629	16.776
2007-06-19	69.859	17.011
2007-06-23	69.829	17.027
2007-07-20	69.358	17.009
2007-07-24	69.355	17.027
2007-08-14	69.859	17.446
2007-08-18	69.973	17.527
2007-09-08	70.36	17.908
2007-09-18	70.311	18.028
2007-10-09	70.11	18.212
2007-10-19	70.114	18.279
2007-11-09	70.36	18.48
2007-11-13	70.415	18.529
2007-12-10	70.861	18.976
2007-12-14	70.907	19.03
2008-01-04	71.111	19.343
2008-01-14	71.193	19.531
2008-02-05	71.362	20.173
2008-02-08	71.385	20.282
2008-03-04	71.58	20.782
2008-03-07	71.612	20.815
2008-04-04	72.069	21.033
2008-04-07	72.113	21.042
2008-05-02	72.363	21.042
2008-05-05	72.379	21.033
2008-06-02	72.363	21.007
2008-06-05	72.336	21.033
2008-06-30	72.117	21.534
2008-07-03	72.113	21.586
2008-08-01	72.34	22.034
2008-08-03	72.363	22.077
2008-08-25	72.411	22.535
2008-09-03	72.363	22.777
2008-09-19	72.218	23.286
2008-10-04	72.113	23.794
