Index;Testcase;cobravsmongoose;greencapexml;jsonlib;jsonml;jsonmlpatched;jxon;newtonsoftjson;orgjsonxml;pesterfish;pesterfishdefused;x2js;x2jsabdmob;xmljson-abdera;xmljson-badgerfish;xmljson-cobra;xmljson-gdata;xmljson-parker;xmljson-yahoo
66;Unassigned plane 3 (u030000-03FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
67;Plane 3 Discouraged (u03FFFE-03FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
68;Unassigned plane 4 (u040000-04FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
69;Plane 4 Discouraged (u04FFFE-04FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
70;Unassigned plane 5 (u050000-05FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
71;Plane 5 Discouraged (u05FFFE-05FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
72;Unassigned plane 6 (u060000-06FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
73;Plane 6 Discouraged (u06FFFE-06FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
74;Unassigned plane 7 (u070000-07FFFD);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
75;Plane 7 Discouraged (u07FFFE-07FFFF);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
