Index;Testcase;cobravsmongoose;greencapexml;jsonlib;jsonml;jsonmlpatched;jxon;newtonsoftjson;orgjsonxml;pesterfish;pesterfishdefused;x2js;x2jsabdmob;xmljson-abdera;xmljson-badgerfish;xmljson-cobra;xmljson-gdata;xmljson-parker;xmljson-yahoo
1;Attribute (multiple);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;OK
2;Attribute;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;OK
3;CDATA close in Text Node;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
4;Escaped CDATA section;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
5;CDATA section with Markup;OK;ERROR;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
6;CDATA support;OK;ERROR;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
7;Comments [OPTIONAL];ERROR;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
8;Deep nesting;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
9;Duplicate Child tag Names (Alternating Order);FAILED;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
10;Duplicate child tag names (different NS prefix);OK;OK;OK;OK;OK;OK;OK;FAILED;FAILED;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
11;Duplicate child tag names;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;FAILED;FAILED;OK;FAILED;OK;OK;OK
12;Element Order;FAILED;OK;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
13;Empty Elements;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;OK
14;Mixed Content;ERROR;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
15;Processing Instructions (Attibute Data);ERROR;FAILED;ERROR;FAILED;OK;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
16;Processing Instructions (Markup);ERROR;FAILED;ERROR;FAILED;OK;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
17;Processing Instructions outside root;ERROR;FAILED;FAILED;FAILED;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
18;Processing Instructions (Arbitrary Data);ERROR;FAILED;ERROR;FAILED;OK;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
19;Processing Instructions (Whitespace);ERROR;FAILED;ERROR;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
20;Processing Instructions (Basic);ERROR;FAILED;ERROR;FAILED;OK;FAILED;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
21;Root Element Attribute;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;FAILED
22;Root Element Tag Name;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
23;Simple Element List;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
24;Type Inference with floats (Attr);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;OK
25;Type Inference with floats;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
26;Type Inference with doubles (Attr);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;OK
27;Type Inference with doubles;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
28;Type Inference with Boolean values (Attr);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;OK
29;Type Inference with Boolean values;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
30;Type Inference with Big Integers (Attr);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;FAILED;OK
31;Type Inference with Big Integers;OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
32;Whitespace (Indentation);FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
33;Whitespace (Mixed Content);ERROR;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;ERROR;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
34;Whitespace (Clean/Dirty);FAILED;FAILED;OK;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
35;Namespace declaration (multiple);FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
36;Namespace declaration with prefix;OK;OK;OK;OK;OK;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
37;Namespace declaration;OK;OK;OK;OK;OK;OK;OK;FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;FAILED;FAILED;FAILED
38;C0 set (u000009, 00000A & 00000D);FAILED;FAILED;FAILED;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
39;Space Char (u000020);FAILED;FAILED;OK;OK;OK;FAILED;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
40;ASCII printable (u000021-00007E);OK;OK;OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
41;Discouraged (u00007F-000084);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;OK;FAILED;OK;OK;FAILED
42;NEL Control Char (u000085);ERROR;OK;FAILED;OK;OK;OK;FAILED;FAILED;OK;OK;OK;OK;FAILED;FAILED;FAILED;FAILED;OK;FAILED
