Index;Testcase;cobravsmongoose;greencapexml;jsonlib;jsonml;jsonmlpatched;jxon;newtonsoftjson;orgjsonxml;pesterfish;pesterfishdefused;x2js;x2jsabdmob;xmljson-abdera;xmljson-badgerfish;xmljson-cobra;xmljson-gdata;xmljson-parker;xmljson-yahoo
106;Billion Laughs Attack (PE Version);OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
107;Billion Laughs Attack;OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK
108;Entity Recursion Attack (PE);OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
109;Entity Recursion Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
110;Quadratic Blowup Attack;OK;OK;FAILED [MANUAL];OK;OK;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK
111;Doctype Parameter Entity FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
112;External PE DTD FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
113;XInclude FSA Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
114;XSLT FSA Attack;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
115;XXE FSA Attack (PE);OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
116;XXE FSA Attack;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
117;DOCTYPE URL Invocation;OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
118;SchemaLocation NoNamespace URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
119;SchemaLocation URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
120;XInclude URL Invocation;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
121;XXE URL Invocation (PE);OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
122;XXE URL Invocation;OK;OK;FAILED;OK;OK;OK;FAILED;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK;OK
;Gesamt;17;17;10;17;17;17;14;17;15;17;17;17;17;17;17;17;17;17
